YEAR,MONTH,DAY,WEEKDAY,HOUR,TEAM1,TEAM2,SCORE,STADIUM,LOCATION,WINNER,TEMPERATURE,RAINFALL,WINDSPEED,HUMLDITY,COUNT
2017,8,26,5,18,LG,두산,4:5,잠실,서울,두산,28,0,3,39,1
2017,8,25,4,18,키움,두산,3:4,잠실,서울,두산,28,0,4,35,1
2017,8,24,3,18,키움,두산,5:6,잠실,서울,두산,26,0,3,79,1
2017,8,23,2,18,두산,SK,4:1,문학,인천,두산,27,0,4,94,1
2017,8,22,1,18,두산,SK,10:6,문학,인천,두산,28,0,2,70,1
2017,8,19,5,18,두산,KT,10:4,수원,수원,두산,27,0,1,79,1
2017,8,18,4,18,KIA,두산,1:2,잠실,서울,두산,29,0,2,62,1
2017,8,17,3,18,KIA,두산,1:4,잠실,서울,두산,27,0,0,70,1
2017,8,13,6,18,NC,두산,1:2,잠실,서울,두산,28,0,3,54,1
2017,8,12,5,18,NC,두산,0:3,잠실,서울,두산,31,0,0,48,1
2017,8,10,3,18,두산,키움,7:4,고척,서울,두산,25,0,1,90,1
2017,8,8,1,18,한화,두산,1:8,잠실,서울,두산,30,0,2,45,1
2017,8,6,6,18,두산,LG,10:3,잠실,서울,두산,32,0,2,62,1
2017,8,5,5,18,두산,LG,2:1,잠실,서울,두산,34,0,2,57,1
2017,8,4,4,18,두산,LG,11:4,잠실,서울,두산,34,0,2,50,1
2017,8,3,3,18,두산,삼성,14:4,대구,대구,두산,29,0,5,66,1
2017,8,2,2,18,두산,삼성,5:2,대구,대구,두산,30,0,4,63,1
2017,8,1,1,18,두산,삼성,12:5,대구,대구,두산,31,0,2,63,1
2019,7,30,1,18,두산,NC,9:1,창원,창원,두산,28,0,1,76,1
2019,7,27,5,18,KIA,두산,1:12,잠실,서울,두산,30,0,1,69,1
2019,7,14,6,18,두산,롯데,8:2,사직,부산,두산,24,0,2,71,1
2019,7,13,5,18,두산,롯데,4:3,사직,부산,두산,23,0,2,72,1
2019,7,11,3,18,두산,LG,8:4,잠실,서울,두산,22,0,1,71,1
2019,7,9,1,18,두산,LG,11:4,잠실,서울,두산,28,0,2,38,1
2019,7,7,6,18,SK,두산,4:5,잠실,서울,두산,29,0,2,35,1
2019,7,4,3,18,두산,키움,4:1,고척,서울,두산,29,0,3,31,1
2019,7,3,2,18,두산,키움,3:1,고척,서울,두산,26,0,3,49,1
2018,7,31,1,18,LG,두산,2:6,잠실,서울,두산,36,0,2,45,1
2018,7,29,6,18,한화,두산,1:3,잠실,서울,두산,35,0,1,35,1
2018,7,28,5,18,한화,두산,6:13,잠실,서울,두산,29,0,0,81,1
2018,7,22,6,18,두산,LG,6:1,잠실,서울,두산,36,0,3,35,1
2018,7,21,5,18,두산,LG,17:10,잠실,서울,두산,35,0,2,42,1
2018,7,20,4,18,두산,LG,5:4,잠실,서울,두산,33,0,2,42,1
2018,7,19,3,18,롯데,두산,1:7,잠실,서울,두산,33,0,2,51,1
2018,7,18,2,18,롯데,두산,4:5,잠실,서울,두산,32,0,2,50,1
2018,7,11,2,18,두산,KT,6:0,수원,수원,두산,29,0,2,73,1
2018,7,7,5,18,삼성,두산,3:8,잠실,서울,두산,27,0,1,48,1
